term1;term2;sentence;is_cause;is_treat;source;prp_sent;sdp;sdp_joined
sugar;chronic diseases;epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis.;1;0;FoodDisease;epidemiological studies have shown that higher term1-sweetened beverage consumption is associated with increased risk of developing term2, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis.;['term1', 'sweeten', 'consumption', 'associate', 'with', 'risk', 'of', 'develop', 'term2'];term1 sweeten consumption associate with risk of develop term2
ketogenic diet;epilepsy;first identified as a feasible treatment for intractable epilepsy, the ketogenic diet (kd) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also nafld, cancer, neurologic conditions and chronic pain.;0;1;FoodDisease;first identified as a feasible treatment for intractable term2, the term1 (kd) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also nafld, cancer, neurologic conditions and chronic pain.;['term1', 'term2'];term1 term2
ultra-processed foods;non-communicable diseases;there is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (ncds) such as obesity, type 2 diabetes and cancers.;1;0;FoodDisease;there is a causal link between the consumption of term1 and a range of term2 (ncds) such as obesity, type 2 diabetes and cancers.;['term1', 'of', 'term2'];term1 of term2
fish oil;asthma;maternal dietary interventions during pregnancy with fish oil and high dose vitamin d have been shown to reduce the incidence of asthma and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood.;0;1;FoodDisease;maternal dietary interventions during pregnancy with term1 and high dose vitamin d have been shown to reduce the incidence of term2 and wheeze in offspring, potentially through microbial effects in pregnancy or early childhood.;['term1', 'with', 'pregnancy', 'and', 'reduce', 'incidence', 'of', 'term2'];term1 with pregnancy and reduce incidence of term2
poor quality of the diets;anemia;these findings suggest that in rural china, anemia stems from the poor quality of the diets of infants/toddlers, rather than insufficient quantities of food being consumed.;1;0;FoodDisease;these findings suggest that in rural china, term2 stems from the term1 of infants/toddlers, rather than insufficient quantities of food being consumed.;['term1', 'from', 'stem', 'term2'];term1 from stem term2
tea consumption;postmenopausal osteoporosis;tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis.;0;1;FoodDisease;term1 has positive effects on the skeletal system and prevents term2, mainly by inhibiting osteoclastogenesis.;['term1', 'have', 'term2'];term1 have term2
garlic;cancer;epidemiological evidence indicates that a high dietary intake of plants of the allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans.;0;1;FoodDisease;epidemiological evidence indicates that a high dietary intake of plants of the allium family, such as term1 and onions, is associated with a decreased risk of term2 in humans.;['term1', 'as', 'family', 'of', 'term2'];term1 as family of term2
eggplant;oral ulcers;the most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%).;1;0;FoodDisease;the most common foods reported as triggers for term2 were term1 (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%).;['term1', 'be', 'food', 'report', 'as', 'trigger', 'for', 'term2'];term1 be food report as trigger for term2
ginger;hyperlipidemia;ginger (zingiber officinale roscoe, zingiberaceae) has been documented to ameliorate hyperlipidemia, hyperglycemia, oxidative stress, and inflammation.;0;1;FoodDisease;term1 (zingiber officinale roscoe, zingiberaceae) has been documented to ameliorate term2, hyperglycemia, oxidative stress, and inflammation.;['term1', 'roscoe', ',', 'term2'];term1 roscoe , term2
olive oil;ad;it has been previously demonstrated that daily intake of hydroxytyrosol (ht), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in ad mice.;0;1;FoodDisease;it has been previously demonstrated that daily intake of hydroxytyrosol (ht), a polyphenol in term1, at a daily dietary level mildly improves cognition in term2 mice.;['term1', 'in', 'mouse', 'term2'];term1 in mouse term2
fb1-contaminated corn;neural tube defects;a relationship between maternal ingestion of fb1-contaminated corn during early pregnancy and increased risk for neural tube defects (ntds) has recently been proposed in human populations around the world where corn is a dietary staple.;1;0;FoodDisease;a relationship between maternal ingestion of term1 during early pregnancy and increased risk for term2 (ntds) has recently been proposed in human populations around the world where corn is a dietary staple.;['term1', 'of', 'ingestion', 'between', 'relationship', 'risk', 'for', 'term2'];term1 of ingestion between relationship risk for term2
available drugs;osteoarthritis;osteoarthritis (oa) is a leading cause of physical disability among aging populations, with no available drugs able to efficiently restore the balance between cartilage matrix synthesis and degradation.;0;0;FoodDisease;term2 (oa) is a leading cause of physical disability among aging populations, with no term1 able to efficiently restore the balance between cartilage matrix synthesis and degradation.;['term1', 'with', 'able', 'cause', 'be', 'term2'];term1 with able cause be term2
sucrose;diabetes;chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of sucrose, could lead to diabetes and tooth decay among children.;1;0;FoodDisease;chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of term1, could lead to term2 and tooth decay among children.;['term1', 'of', 'level', 'due', 'to', 'term2'];term1 of level due to term2
diet;cardiovascular disease;this genetic variation is associated with different plasma lipoprotein levels, different response to diet and lipid-lowering therapy, and a variable risk for cardiovascular disease and alzheimer's disease.;0;0;FoodDisease;this genetic variation is associated with different plasma lipoprotein levels, different response to term1 and lipid-lowering therapy, and a variable risk for term2 and alzheimer's disease.;['term1', 'and', 'term2'];term1 and term2
grape extract (ge);lifestyle-related diseases;grape extract (ge), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension.;0;1;FoodDisease;term1, which contains various polyphenolic compounds, exerts protective effects against term2, such as diabetes and hypertension.;['term1', ',', 'term2'];term1 , term2
flour;asthmatic reactions;"bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies.";1;0;FoodDisease;"bronchial provocation tests by ""occupational"" exposure to term1 provoked dual term2 accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies.";['term1', 'to', 'exposure', 'by', 'accompany', 'term2'];term1 to exposure by accompany term2
processed foods;hypertension;increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among malaysian populations.;1;0;FoodDisease;increased consumption of term1 in the modern world has contributed to a high salt intake and thus increased the prevalence of term2 among malaysian populations.;['term1', 'of', 'term2'];term1 of term2
turkey;infectious bronchitis;within the family coronaviridae the embryonated egg has been used as a host system primarily for two avian coronaviruses within the genus gammacoronavirus, infectious bronchitis virus (ibv) and turkey coronavirus (tcov).;0;0;FoodDisease;within the family coronaviridae the embryonated egg has been used as a host system primarily for two avian coronaviruses within the genus gammacoronavirus, term2 virus (ibv) and term1 coronavirus (tcov).;['term1', 'coronavirus', 'virus', 'term2'];term1 coronavirus virus term2
coffee;neurodegenerative diseases;our findings strongly suggest that some foods, especially coffee, can act as a rich source of ãâãâãâãâ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as parkinson's and alzheimer's.;0;1;FoodDisease;our findings strongly suggest that some foods, especially term1, can act as a rich source of ãâãâãâãâ²-carbolines, which may possibly be associated with a reduced risk for serious term2, such as parkinson's and alzheimer's.;['term1', 'food', ',', 'term2'];term1 food , term2
symptomatic slow-acting drugs;osteoarthritis;evidence supports the use of glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (sysadoas) with impact on oa symptoms and disease-modifying effects in the long term.;0;1;FoodDisease;evidence supports the use of glucosamine and chondroitin as term1 for term2 (sysadoas) with impact on oa symptoms and disease-modifying effects in the long term.;['term1', 'as', 'use', 'for', 'term2'];term1 as use for term2
dairy;mastitis;bovine mastitis continues to be a leading cause of heavy economic losses in the dairy industry and a public health hazard globally.;0;0;FoodDisease;bovine term2 continues to be a leading cause of heavy economic losses in the term1 industry and a public health hazard globally.;['term1', 'industry', 'hazard', 'a', 'cause', 'be', 'continue', 'term2'];term1 industry hazard a cause be continue term2
beans;diabetes;vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.;0;1;FoodDisease;vegetables and term1 are nutrient-dense foods with innate potential to mediate term2 in a variety of cultures.;['term1', 'vegetable', 'be', 'food', 'with', 'potential', 'mediate', 'term2'];term1 vegetable be food with potential mediate term2
cocoa polyphenols;metabolic disturbances;cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.;0;1;FoodDisease;term1 exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of term2.;['term1', 'exhibit', 'propose', 'as', 'adjuvant', 'for', 'treatment', 'of', 'term2'];term1 exhibit propose as adjuvant for treatment of term2
nuts;chronic disease;although a high intake of plant foods such as fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear what is the optimal amount of intake of these foods and whether specific subtypes are particularly beneficial.;0;1;FoodDisease;although a high intake of plant foods such as fruits, vegetables, whole grains, term1, and legumes has been recommended for term2 prevention, it has been unclear what is the optimal amount of intake of these foods and whether specific subtypes are particularly beneficial.;['term1', 'grain', ',', 'intake', 'recommend', 'for', 'prevention', 'term2'];term1 grain , intake recommend for prevention term2
lower water and food intake;respiratory system disorders;apathy, lower water and food intake, respiratory system disorders and a total mortality of 60% were noted.;0;0;FoodDisease;apathy, term1, term2 and a total mortality of 60% were noted.;['term1', 'term2'];term1 term2
extra virgin olive oil;glycemia;oleuropein, a component of extra virgin olive oil (evoo), reduces post-prandial glycemia with a mechanism counteracting oxidative stress-mediated incretin down-regulation.;0;1;FoodDisease;oleuropein, a component of term1 (evoo), reduces post-prandial term2 with a mechanism counteracting oxidative stress-mediated incretin down-regulation.;['term1', 'of', 'component', 'oleuropein', 'reduce', 'term2'];term1 of component oleuropein reduce term2
fruits;cvd;cvd can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake.;0;1;FoodDisease;term2 can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and term1, and reducing sugar intake.;['term1', 'vegetable', 'and', 'prevent', 'term2'];term1 vegetable and prevent term2
fruit;mental disorders;no studies so far have shown the effect of fruit and vegetable intake on mental disorders in mexican americans, for whom mental illness is an important health issue.;0;0;FoodDisease;no studies so far have shown the effect of term1 and vegetable intake on term2 in mexican americans, for whom mental illness is an important health issue.;['term1', 'of', 'effect', 'on', 'term2'];term1 of effect on term2
curcuma longa;neurodegenerative diseases;therefore, novel therapeutic strategies have long been investigated, where curcumin (curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases.;0;1;FoodDisease;therefore, novel therapeutic strategies have long been investigated, where curcumin (term1) has shown some properties that can prevent the deleterious processes involved in term2.;['term1', 'curcumin', 'show', 'property', 'prevent', 'process', 'involve', 'in', 'term2'];term1 curcumin show property prevent process involve in term2
tomato fruit;memory impairment;ãâãâãâãâ²-amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction.;0;1;FoodDisease;ãâãâãâãâ²-amyrin, an ingredient of the surface wax of term1 and dandelion coffee, is previously reported to ameliorate term2 induced by cholinergic dysfunction.;['term1', 'coffee', 'of', 'ingredient', 'report', 'ameliorate', 'term2'];term1 coffee of ingredient report ameliorate term2
chicken;amd;these results demonstrated that the developed immunoassay provided a sensitive, rapid, and accurate approach for the detection of amd in chicken by employing mbs as solid phase and sa-bio as signal amplification.;0;0;FoodDisease;these results demonstrated that the developed immunoassay provided a sensitive, rapid, and accurate approach for the detection of term2 in term1 by employing mbs as solid phase and sa-bio as signal amplification.;['term1', 'in', 'provide', 'approach', 'for', 'detection', 'of', 'term2'];term1 in provide approach for detection of term2
pharmaceutical drugs;hyperuricemia;while pharmaceutical drugs have been shown to exhibit serious side effects, and bioactive compounds from plant-based functional foods have been demonstrated to be active in the treatment of hyperuricemia with only minimal side effects.;0;0;FoodDisease;while term1 have been shown to exhibit serious side effects, and bioactive compounds from plant-based functional foods have been demonstrated to be active in the treatment of term2 with only minimal side effects.;['term1', 'show', 'be', 'in', 'treatment', 'of', 'term2'];term1 show be in treatment of term2
diet;food allergy;the steep rise in food allergy (fa) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, diet, and their metabolites.;0;0;FoodDisease;the steep rise in term2 (fa) has evoked environmental factors involved in disease pathogenesis, including the gut microbiota, term1, and their metabolites.;['term1', ',', 'pathogenesis', 'in', 'term2'];term1 , pathogenesis in term2
zinc;fracture;although dairy products provide more bone-beneficial nutrients (e.g., calcium, magnesium, potassium, zinc, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and fracture prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of fractures.;0;0;FoodDisease;although dairy products provide more bone-beneficial nutrients (e.g., calcium, magnesium, potassium, term1, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and term2 prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of term2s.;['term1', 'phosphorus', 'and', 'health', 'prevention', 'term2'];term1 phosphorus and health prevention term2
sodium-glucose cotransporter 2 (sglt2);t2dm;recent studies on cardiovascular outcomes among patients with t2dm have clearly shown that sodium-glucose cotransporter 2 (sglt2) inhibitors, such as empagliflozin, canagliflozin, and dapagliflozin, have cardiorenal protective effects apart from their glucose-lowering effects.;0;0;FoodDisease;recent studies on cardiovascular outcomes among patients with term2 have clearly shown that term1 inhibitors, such as empagliflozin, canagliflozin, and dapagliflozin, have cardiorenal protective effects apart from their glucose-lowering effects.;['term1', 'inhibitor', 'have', 'show', 'study', 'among', 'patient', 'with', 'term2'];term1 inhibitor have show study among patient with term2
curcuma longa;rheumatoid arthritis;curcuma longa (cl) or turmeric is an ayurvedic herb that has been traditionally used to treat inflammatory conditions like rheumatoid arthritis (ra).;0;1;FoodDisease;term1 (cl) or turmeric is an ayurvedic herb that has been traditionally used to treat inflammatory conditions like term2 (ra).;['term1', '(', 'term2'];term1 ( term2
red wine;cognitive decline;these effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.;0;1;FoodDisease;these effects have been related to the protection against term2 associated with aging and disease by a number of polyphenols found in term1 and extra virgin olive oil.;['term1', 'in', 'find', 'number', 'by', 'associate', 'relate', 'to', 'protection', 'against', 'term2'];term1 in find number by associate relate to protection against term2
mediterranean diet;sci;the mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with sci.;0;1;FoodDisease;the term1, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with term2.;['term1', 'suggest', 'along', 'with', 'term2'];term1 suggest along with term2
extra virgin olive oil;joint inflammatory diseases;recently, oleocanthal isolated from extra virgin olive oil was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of joint inflammatory diseases.;0;1;FoodDisease;recently, oleocanthal isolated from term1 was found to display nonsteroidal antiinflammatory drug activity similar to that of ibuprofen, a drug widely used in the therapeutic management of term2.;['term1', 'from', 'isolate', 'oleocanthal', 'find', ',', 'ibuprofen', 'of', 'term2'];term1 from isolate oleocanthal find , ibuprofen of term2
salt;nutritional reformulation;among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer.;1;0;FoodDisease;among term2 strategies, reductions in caloric density, term1, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer.;['term1', ',', 'strategy', 'term2'];term1 , strategy term2
milk consumption;knee osteoarthritis;observational studies showed inverse associations between milk consumption and knee osteoarthritis (knee oa).;0;1;FoodDisease;observational studies showed inverse associations between term1 and term2 (knee oa).;['term1', 'term2'];term1 term2
mediterranean diet;bone disease;mediterranean diet (md) has shown to prevent bone disease.;0;1;FoodDisease;term1 (md) has shown to prevent term2.;['term1', 'show', 'prevent', 'term2'];term1 show prevent term2
functional foods;pathogenic viral infections;functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such protective benefits.;0;1;FoodDisease;term1 optimize the immune system capacity to prevent and control term2, while physical activity augments such protective benefits.;['term1', 'optimize', 'capacity', 'prevent', 'term2'];term1 optimize capacity prevent term2
milk;fracture;in adult caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher.;0;1;FoodDisease;in adult caucasian women, daily intake of 200-250 ml of term1 is associated with a reduction in term2 risk of 5 % or higher.;['term1', 'of', 'risk', 'term2'];term1 of risk term2
olive oil;cancers;traditional mediterranean diet (md) is associated by the low-prevalence of certain types of cancers and cvds, where olive oil plays an important role.;0;1;FoodDisease;traditional mediterranean diet (md) is associated by the low-prevalence of certain types of term2 and cvds, where term1 plays an important role.;['term1', 'play', 'type', 'of', 'term2'];term1 play type of term2
rice;allergy;in rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kda have been demonstrated to be potentially allergenic.;1;0;FoodDisease;in term1 term2, proteins with molecular masses of 14-16, 26, 33, and 56 kda have been demonstrated to be potentially allergenic.;['term1', 'term2'];term1 term2
fish;ischemic heart disease;"the low mortality rates from ischemic heart disease and cancer are thought to reflect the low prevalence of obesity in japan; low intake of red meat, specifically saturated fatty acids; and high intakes of fish, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea.";0;1;FoodDisease;"the low mortality rates from term2 and cancer are thought to reflect the low prevalence of obesity in japan; low intake of red meat, specifically saturated fatty acids; and high intakes of term1, specifically n-3 polyunsaturated fatty acids, plant foods such as soybeans, and nonsugar-sweetened beverages such as green tea.";['term1', 'of', 'intake', 'and', 'term2'];term1 of intake and term2
trans-fatty acids;noncommunicable diseases;pakistan is among the nations with a high intake of trans-fatty acids (tfas), a major dietary risk factor of noncommunicable diseases (ncds).;1;0;FoodDisease;pakistan is among the nations with a high intake of term1 (tfas), a major dietary risk factor of term2 (ncds).;['term1', 'of', 'term2'];term1 of term2
fruit of terminalia chebula;ailments;the fruit of terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential.;0;1;FoodDisease;the term1 has been used extensively in various traditional health systems for different term2, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential.;['term1', 'use', 'in', 'system', 'for', 'term2'];term1 use in system for term2
grape seed proanthocyanidin extract (gspe);hypertension;the development of hypertension (htn) in cafeteria (caf) diet-fed rats was demonstrated to be attenuated after grape seed proanthocyanidin extract (gspe) administration.;0;1;FoodDisease;the development of term2 (htn) in cafeteria (caf) diet-fed rats was demonstrated to be attenuated after term1 administration.;['term1', 'administration', 'after', 'attenuate', 'demonstrate', 'development', 'of', 'term2'];term1 administration after attenuate demonstrate development of term2
crushed garlic;colon cancer;here, we identified z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth.;0;1;FoodDisease;here, we identified z-ajoene, a sulfur containing compound isolated from term1, as an inhibitor of term2 cell growth.;['term1', 'from', 'isolate', 'compound', 'contain', 'sulfur', 'ajoene', 'identify', 'as', 'inhibitor', 'of', 'growth', 'term2'];term1 from isolate compound contain sulfur ajoene identify as inhibitor of growth term2
oats;chronic diseases;oats products are believed to contain many bioactives that possess potential beneficial properties against chronic diseases.;0;1;FoodDisease;term1 products are believed to contain many bioactives that possess potential beneficial properties against term2.;['term1', 'product', 'believe', 'contain', 'bioactive', 'possess', 'against', 'term2'];term1 product believe contain bioactive possess against term2
human milk;cow's milk protein allergy (cmpa);due to its similarity with human milk and its low allergenic properties, donkey milk has long been used as an alternative for infants and patients with cow's milk protein allergy (cmpa).;0;0;FoodDisease;due to its similarity with term1 and its low allergenic properties, donkey milk has long been used as an alternative for infants and patients with term2.;['term1', 'with', 'term2'];term1 with term2
yogurt;human disease;the judicious use of milk and yogurt could prevent a high proportion of human disease.;0;1;FoodDisease;the judicious use of milk and term1 could prevent a high proportion of term2.;['term1', 'milk', 'of', 'term2'];term1 milk of term2
tea consumption;alzheimer disease;"for the recalculated meta-analyses, quality of evidence was moderate for inverse associations between higher adherence to the mediterranean diet (srr: 0.63; 95% ci: 0.48, 0.82; n = 4 primary studies) and higher fish intake (srr: 0.72; 95% ci: 0.59, 0.89; n = 6) and alzheimer disease, as well as for tea consumption and all-cause dementia (srr: 0.74; 95% ci: 0.63, 0.88; n = 2) and parkinson disease (srr per 2 cups/d: 0.69; 95% ci: 0.54, 0.87; n = 5).";0;0;FoodDisease;"for the recalculated meta-analyses, quality of evidence was moderate for inverse associations between higher adherence to the mediterranean diet (srr: 0.63; 95% ci: 0.48, 0.82; n = 4 primary studies) and higher fish intake (srr: 0.72; 95% ci: 0.59, 0.89; n = 6) and term2, as well as for term1 and all-cause dementia (srr: 0.74; 95% ci: 0.63, 0.88; n = 2) and parkinson disease (srr per 2 cups/d: 0.69; 95% ci: 0.54, 0.87; n = 5).";['term1', 'for', 'be', 'ci', 'term2'];term1 for be ci term2
dietary virgin olive oil;hypoxia;recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.;0;1;FoodDisease;recent studies suggest that term1 reduces term2-reoxygenation injury in rat brain.;['term1', 'reduce', 'injury', 'reoxygenation', 'term2'];term1 reduce injury reoxygenation term2
garlic;asthma;twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust.;1;0;FoodDisease;twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and term2 or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, term1, or soy dust.;['term1', 'or', 'term2'];term1 or term2
ginger;human diseases;natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders.;0;1;FoodDisease;natural products, such as term1, curcumin, and gingko biloba have been used as diets and dietary supplements to treat term2, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders.;['term1', 'as', 'diet', 'treat', 'term2'];term1 as diet treat term2
dairy products;obesity;efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been proved by dash diet.;0;1;FoodDisease;efficiency of milk and term1 in treatment of term2, sclerosis and hypertension has been proved by dash diet.;['term1', 'milk', 'of', 'term2'];term1 milk of term2
milk;hip fracture;however, there is also evidence of a detrimental effect of milk on the risk of hip fracture.;0;1;FoodDisease;however, there is also evidence of a detrimental effect of term1 on the risk of term2.;['term1', 'of', 'term2'];term1 of term2
sodium consumption;chronic disease;however, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood.;1;0;FoodDisease;however, population-level strategies to reduce term1, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in term1 and help to prevent term2 in adulthood.;['term1', 'in', 'prevent', 'term2'];term1 in prevent term2
ginkgo biloba;mci;supplementation with vitamin e (one study, n 516), ginkgo biloba (one study, n 482) or fortasyn connect (one study, n 311) had no significant effect on progression from mci to dementia and/or ad.;0;0;FoodDisease;supplementation with vitamin e (one study, n 516), term1 (one study, n 482) or fortasyn connect (one study, n 311) had no significant effect on progression from term2 to dementia and/or ad.;['term1', 'study', 'e', 'with', 'supplementation', 'have', 'effect', 'on', 'progression', 'from', 'term2'];term1 study e with supplementation have effect on progression from term2
beans;diabetic;common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds.;0;1;FoodDisease;common term1 have been associated with anti-term2 effects, due to its high content of bioactive compounds.;['term1', 'associate', 'with', 'effect', 'term2'];term1 associate with effect term2
limanda limanda;ulcerations;aeromonas salmonicida was isolated from ulcerations in common dab (limanda limanda).;0;0;FoodDisease;aeromonas salmonicida was isolated from term2 in common dab (term1).;['term1', 'dab', 'in', 'isolate', 'from', 'term2'];term1 dab in isolate from term2
coffee consumption;chronic diseases;coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver).;0;1;FoodDisease;term1 has been associated with a significant decrease in the risk of developing term2 such as parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver).;['term1', 'associate', 'with', 'decrease', 'in', 'risk', 'of', 'develop', 'term2'];term1 associate with decrease in risk of develop term2
peas;cardiovascular disease;pulses, including peas, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for cardiovascular disease and diabetes.;0;1;FoodDisease;pulses, including term1, are a good source of protein, dietary fiber, folic acid, and iron and are reported to reduce the risk for term2 and diabetes.;['term1', 'include', 'pulse', ',', 'acid', 'and', 'term2'];term1 include pulse , acid and term2
olive oil);cardiovascular disease;epidemiological studies suggest that a mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.;0;1;FoodDisease;epidemiological studies suggest that a mediterranean diet (which is rich in virgin term1 decreases the risk of term2.;['term1', 'in', 'rich', 'be', 'diet', 'decrease', 'risk', 'of', 'term2'];term1 in rich be diet decrease risk of term2
diet;low-grade inflammation;low-grade inflammation is a suggested mechanism in the development of metabolic syndrome (mets), and diet could act as a regulator.;0;1;FoodDisease;term2 is a suggested mechanism in the development of metabolic syndrome (mets), and term1 could act as a regulator.;['term1', 'act', 'be', 'term2'];term1 act be term2
fruits;coronary heart disease;adequate consumption of fruits and vegetables has protective benefits against development of coronary heart disease, hypertension and chronic obstructive pulmonary disease.;0;1;FoodDisease;adequate consumption of term1 and vegetables has protective benefits against development of term2, hypertension and chronic obstructive pulmonary disease.;['term1', 'of', 'term2'];term1 of term2
ginger;asthma;curcumin, is a polyphenol from curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and alzheimer's.;0;1;FoodDisease;curcumin, is a polyphenol from curcuma longa (turmeric plant), is a polyphenol that belongs to the term1 family which has long been used in ayurveda medicines to treat various diseases such as term2, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and alzheimer's.;['term1', 'family', 'use', 'be', ',', 'term2'];term1 family use be , term2
lemon;respiratory tract infections;natural products like ginger, turmeric, garlic, onion, cinnamon, lemon, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute respiratory tract infections including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with covid-19 infection.;0;1;FoodDisease;natural products like ginger, turmeric, garlic, onion, cinnamon, term1, neem, basil, and black pepper have been scientifically proven to have therapeutic benefits against acute term2 including pulmonary fibrosis, diffuse alveolar damage, pneumonia, and acute respiratory distress syndrome, as well as associated septic shock, lung and kidney injury, all of which are symptoms associated with covid-19 infection.;['term1', ',', 'syndrome', 'acute', 'term2'];term1 , syndrome acute term2
nuts;atherosclerosis;thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression.;0;1;FoodDisease;thus, the inclusion of food sources of dietary antioxidants, such as different kinds of term1, may improve biomarkers related to oxidative stress, contributing to a possible reduction in term2 progression.;['term1', 'of', 'inclusion', 'improve', 'contribute', 'to', 'reduction', 'in', 'progression', 'term2'];term1 of inclusion improve contribute to reduction in progression term2
