text	label	label_id	graph
influence from transmit condition	not	0	(u_151 / from  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_125 / transmit)))
influence implicate in condition	treat	1	(u_213 / implicate  :1 (u_1 / influence)  :1-of (u_14 / in  :2 (u_5 / condition)))
influence increase in condition	not	0	(u_148 / increase  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_5 / condition)))
influence to expose antibodie condition	not	0	(u_1 / influence  :0 (u_214 / expose  :2 (u_5 / condition  :0 (u_215 / antibodie))))
influence of validity as treatment for condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_216 / validity  :1-of (u_6 / as  :2 (u_3 / treatment  :1-of (u_2 / for  :2 (u_5 / condition))))))
influence in report condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_74 / report)))
influence cocoa product of condition	treat	1	(u_217 / product  :0 (u_218 / cocoa)  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence drinking have prevent treat condition	treat	1	(u_40 / prevent  :2 (u_5 / condition  :0 (u_37 / treat))  :1 (u_219 / drinking  :0 (u_1 / influence)))
influence of consumption show have effect on condition	treat	1	(u_33 / have  :2 (u_68 / effect  :1-of (u_138 / on  :2 (u_5 / condition)))  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_69 / show  :0 (u_9 / consumption)))))
influence with reduce condition	treat	1	(u_10 / with  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_23 / reduce)))
influence in report case of condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_220 / case  :0 (u_74 / report)  :1-of (u_4 / of  :2 (u_5 / condition))))
influence of allergen trigger condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_29 / trigger  :0 (u_86 / allergen))))
influence check level be factor for condition	treat	1	(u_93 / factor  :1 (u_221 / level  :0 (u_222 / check)  :0 (u_1 / influence))  :1-of (u_2 / for  :2 (u_5 / condition)))
influence fistulosum be plant use for treatment of cold condition	treat	1	(u_0 / use  :0 (u_38 / plant)  :1 (u_223 / fistulosum  :0 (u_1 / influence))  :1-of (u_2 / for  :2 (u_3 / treatment  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_224 / cold))))))
influence intake of condition	not	0	(u_49 / intake  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence have reduce risk of develop condition	treat	1	(u_23 / reduce  :2 (u_88 / risk  :0 (u_18 / develop  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence as hypothesis the development of condition	treat	1	(u_1 / influence  :0 (u_54 / development  :1-of (u_4 / of  :2 (u_5 / condition)))  :1-of (u_6 / as  :2 (u_225 / hypothesis)))
influence macrophage ( condition	not	0	(u_226 / macrophage  :0 (u_5 / condition)  :0 (u_1 / influence))
influence cause be , condition	not	0	(u_1 / influence  :0 (u_5 / condition))
influence candidate of condition	treat	1	(u_227 / candidate  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence salmon in trout characterize by condition	not	0	(u_228 / characterize  :1 (u_5 / condition)  :1 (u_97 / salmon  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_229 / trout)))  :0-of u_5)
influence be product use promote remove condition	treat	1	(u_82 / promote  :0 (u_230 / remove  :2 (u_5 / condition))  :0 (u_0 / use)  :0 (u_217 / product)  :1 (u_1 / influence))
influence use have effect against disease include condition	treat	1	(u_33 / have  :0 (u_39 / include  :2 (u_5 / condition))  :2 (u_68 / effect  :1-of (u_27 / against  :2 (u_43 / disease)))  :1 (u_0 / use  :0 (u_1 / influence)))
influence in ingredient for improvement of condition	treat	1	(u_2 / for  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_232 / ingredient)))  :2 (u_231 / improvement  :1-of (u_4 / of  :2 (u_5 / condition))))
influence of role against condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_233 / role  :1-of (u_27 / against  :2 (u_5 / condition))))
influence in component peptide calcium protect from condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_234 / protect  :0 (u_235 / calcium  :0 (u_236 / peptide))  :0 (u_127 / component)  :1-of (u_151 / from  :2 (u_5 / condition))))
influence metabolism , highlight condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_237 / highlight))  :0 (u_238 / metabolism)  :0 (u_1 / influence))
influence to allergy as condition	not	0	(u_6 / as  :1 (u_1 / influence  :1-of (u_53 / to  :2 (u_239 / allergy)))  :2 (u_5 / condition))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence associate be origin of condition	not	0	(u_240 / origin  :1 (u_8 / associate  :0 (u_1 / influence))  :1-of (u_4 / of  :2 (u_5 / condition)))
influence be have effect condition	not	0	(u_33 / have  :2 (u_5 / condition  :0 (u_68 / effect))  :1 (u_1 / influence))
influence supplementation cause condition	not	0	(u_5 / condition  :0 (u_85 / cause)  :0 (u_51 / supplementation  :0 (u_1 / influence)))
influence use because potential in condition	treat	1	(u_0 / use  :1 (u_1 / influence)  :1-of (u_241 / because  :2 (u_24 / potential  :1-of (u_14 / in  :2 (u_5 / condition)))))
influence belong describe condition	not	0	(u_242 / belong  :0 (u_243 / describe  :2 (u_5 / condition))  :1 (u_1 / influence))
influence be and osteoporosis condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_244 / osteoporosis))  :0 (u_245 / be)  :1 (u_1 / influence))
influence know prevent ailment like condition	treat	1	(u_36 / know  :2 (u_40 / prevent  :2 (u_246 / ailment)  :1-of (u_247 / like  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence from experience to condition	not	0	(u_151 / from  :1 (u_1 / influence)  :2 (u_248 / experience  :1-of (u_53 / to  :2 (u_5 / condition))))
influence bajra ( region in condition	not	0	(u_249 / bajra  :0 (u_250 / region  :1-of (u_14 / in  :2 (u_5 / condition)))  :0 (u_1 / influence))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence from derive compound disulfide show have effect against condition	treat	1	(u_33 / have  :2 (u_68 / effect  :1-of (u_27 / against  :2 (u_5 / condition)))  :1 (u_1 / influence  :1-of (u_151 / from  :2 (u_69 / show  :0 (u_251 / disulfide)  :0 (u_137 / compound)  :0 (u_252 / derive)))))
influence be food condition	not	0	(u_5 / condition  :0 (u_20 / food)  :1 (u_1 / influence))
influence system in produce effect against condition	treat	1	(u_253 / system  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_68 / effect  :0 (u_254 / produce)  :1-of (u_27 / against  :2 (u_5 / condition)))))
influence of fortification deem strategy reduce condition	treat	1	(u_255 / deem  :2 (u_23 / reduce  :2 (u_5 / condition))  :2 (u_256 / strategy)  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_257 / fortification))))
influence in bacteria cause condition	not	0	(u_85 / cause  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_258 / bacteria)))  :2 (u_5 / condition))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence sinus eye show all of condition	not	0	(u_1 / influence  :2 (u_69 / show  :0 (u_259 / eye)  :0 (u_260 / sinus)))
influence pepper exhibit condition	treat	1	(u_5 / condition  :0 (u_98 / exhibit)  :0 (u_261 / pepper  :0 (u_1 / influence)))
influence as unlike condition	not	0	(u_6 / as  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_262 / unlike)))
influence be improve mitigate condition	treat	1	(u_73 / improve  :2 (u_5 / condition  :0 (u_263 / mitigate))  :1 (u_1 / influence))
influence intake ( condition	treat	1	(u_49 / intake  :0 (u_5 / condition)  :0 (u_1 / influence))
influence in find component zingerone know as activity condition	treat	1	(u_36 / know  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_264 / zingerone  :0 (u_127 / component  :0 (u_147 / find)))))  :1-of (u_6 / as  :2 (u_5 / condition  :0 (u_265 / activity))))
influence in pathogen be virus condition	not	0	(u_5 / condition  :0 (u_173 / virus)  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_266 / pathogen))))
influence to exposure by cause kind be condition	not	0	(u_5 / condition  :1 (u_267 / kind)  :1 (u_1 / influence  :1 (u_195 / exposure  :1 (u_85 / cause)  :0-of u_85)  :0-of u_195))
influence of content contribute propose prevent condition	treat	1	(u_80 / contribute  :2 (u_268 / propose  :2 (u_5 / condition  :0 (u_40 / prevent)))  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_269 / content))))
influence to occur condition	not	0	(u_1 / influence  :0 (u_139 / occur  :2 (u_5 / condition)))
influence , modulate slow condition	treat	1	(u_270 / modulate  :2 (u_5 / condition  :0 (u_271 / slow)))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence be source array of molecule afford protection against condition	treat	1	(u_272 / array  :0 (u_273 / afford  :2 (u_274 / protection  :0 (u_275 / molecule  :0 (u_4 / of))  :1-of (u_27 / against  :2 (u_5 / condition))))  :0 (u_276 / source)  :1 (u_1 / influence))
influence associate with reduction in incidence of condition	treat	1	(u_1 / influence)
influence of constituent eucalyptol use as remedy for cold condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_0 / use  :0 (u_277 / eucalyptol)  :0 (u_278 / constituent)  :1-of (u_6 / as  :2 (u_279 / remedy  :1-of (u_2 / for  :2 (u_5 / condition  :0 (u_224 / cold)))))))
influence in find with property , healing condition	treat	1	(u_1 / influence  :0 (u_5 / condition  :0 (u_280 / healing))  :1-of (u_14 / in  :2 (u_147 / find  :1-of (u_10 / with  :2 (u_155 / property)))))
influence use treat defect condition	treat	1	(u_5 / condition  :0 (u_281 / defect)  :0 (u_37 / treat)  :0 (u_0 / use  :0 (u_1 / influence)))
influence report for management of condition	treat	1	(u_74 / report  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_185 / management  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence , condition	not	0	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence browning condition	not	0	(u_5 / condition  :0 (u_282 / brown)  :0 (u_1 / influence))
influence be rate of condition	treat	1	(u_92 / rate  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence ( model condition	treat	1	(u_1 / influence  :0 (u_5 / condition  :0 (u_172 / model)))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence suspect agent for condition	not	0	(u_283 / agent  :0 (u_72 / suspect)  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_5 / condition)))
influence in function the effect due eat with exhibit condition	not	0	(u_1 / influence  :0 (u_68 / effect  :1-of (u_284 / due  :2 (u_285 / eat  :1-of (u_10 / with  :2 (u_5 / condition  :0 (u_98 / exhibit))))))  :1-of (u_14 / in  :2 (u_286 / function)))
influence flour wheat be fortify prevent condition	treat	1	(u_287 / fortify  :2 (u_40 / prevent  :2 (u_5 / condition))  :2 (u_288 / wheat  :0 (u_289 / flour)  :0 (u_1 / influence)))
influence to condition	not	0	(u_53 / to  :1 (u_1 / influence)  :2 (u_5 / condition))
influence of risk woman a condition	treat	1	(u_1 / influence  :0 (u_5 / condition)  :1-of (u_4 / of  :2 (u_290 / woman  :0 (u_88 / risk))))
influence have potential increase in country exist condition	treat	1	(u_33 / have  :2 (u_148 / increase  :0 (u_24 / potential)  :1-of (u_14 / in  :2 (u_5 / condition  :0 (u_291 / exist)  :0 (u_292 / country))))  :1 (u_1 / influence))
influence by cause symptom of condition	not	0	(u_118 / by  :1 (u_1 / influence)  :2 (u_293 / symptom  :0 (u_85 / cause)  :1-of (u_4 / of  :2 (u_5 / condition))))
influence cultivate be approach for manage condition	treat	1	(u_294 / approach  :1 (u_1 / influence)  :1-of (u_2 / for  :2 (u_5 / condition  :0 (u_295 / manage))))
influence fowl condition	not	0	(u_5 / condition  :0 (u_296 / fowl)  :0 (u_1 / influence))
influence associate with risk of condition	treat	1	(u_8 / associate  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_88 / risk  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence of consumption be condition	not	0	(u_5 / condition  :1 (u_1 / influence  :1-of (u_4 / of  :2 (u_9 / consumption))))
influence be rich in prevent treat condition	treat	1	(u_84 / rich  :1 (u_1 / influence)  :1-of (u_14 / in  :2 (u_40 / prevent  :2 (u_5 / condition  :0 (u_37 / treat)))))
influence regulate raise resistance condition	not	0	(u_297 / regulate  :2 (u_298 / raise  :2 (u_5 / condition  :0 (u_299 / resistance)))  :1 (u_1 / influence))
influence between association the risk of condition	not	0	(u_1 / influence  :0 (u_88 / risk  :1-of (u_4 / of  :2 (u_5 / condition)))  :1-of (u_66 / between  :2 (u_67 / association)))
influence consumption of benefit regard evidence accumulate and condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_300 / accumulate)  :1 (u_9 / consumption  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_301 / evidence  :0 (u_25 / regard)  :0 (u_50 / benefit)))))
influence in find compound ameliorate condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_302 / ameliorate)  :0 (u_137 / compound  :0 (u_147 / find))))
influence in find compound curcumin , activity condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_15 / COORD  :0 (u_5 / condition  :0 (u_265 / activity))  :0 (u_303 / curcumin)  :0 (u_137 / compound)  :0 (u_147 / find)))
influence , be child with condition	not	0	(u_35 / child  :1 (u_1 / influence)  :1-of (u_10 / with  :2 (u_5 / condition)))
influence beverage history condition	not	0	(u_5 / condition  :0 (u_304 / history  :0 (u_305 / beverage)  :0 (u_1 / influence)))
influence from generate antigen recognize antiserum for diagnosis of condition	not	0	(u_306 / recognize  :2 (u_307 / antiserum  :1-of (u_2 / for  :2 (u_308 / diagnosis  :1-of (u_4 / of  :2 (u_5 / condition)))))  :1 (u_1 / influence  :1-of (u_151 / from  :2 (u_309 / antigen  :0 (u_310 / generate)))))
influence enalapril with associate survival free condition	treat	1	(u_311 / enalapril  :0 (u_1 / influence)  :1-of (u_10 / with  :2 (u_5 / condition  :0 (u_312 / free)  :0 (u_313 / survival  :0 (u_8 / associate)))))
influence in rich diet of ability reduce condition	treat	1	(u_23 / reduce  :2 (u_5 / condition)  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_83 / diet  :0 (u_84 / rich)  :1-of (u_4 / of  :2 (u_144 / ability))))))
influence , condition	not	0	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence of association with total condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_67 / association  :1-of (u_10 / with  :2 (u_5 / condition  :0 (u_314 / total)))))
influence apple of effect condition	not	0	(u_315 / apple  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_68 / effect))))
influence of place smoking surgery condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_316 / surgery)  :0 (u_124 / smoking)  :0 (u_317 / place)))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence , condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence by induce condition	not	0	(u_1 / influence  :1 (u_5 / condition  :0 (u_21 / induce))  :0-of u_5)
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence peptide be component retain for control condition	treat	1	(u_127 / component  :0 (u_318 / retain  :1-of (u_2 / for  :2 (u_5 / condition  :0 (u_319 / control))))  :1 (u_236 / peptide  :0 (u_1 / influence)))
influence be and intolerance condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_320 / intolerance))  :0 (u_245 / be)  :1 (u_1 / influence))
influence in cause virus condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_173 / virus)  :0 (u_85 / cause)))
influence excess in condition	not	0	(u_321 / excess  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_5 / condition)))
influence in find flavone luteolin have value for condition	treat	1	(u_33 / have  :2 (u_322 / value  :1-of (u_2 / for  :2 (u_5 / condition)))  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_323 / luteolin  :0 (u_324 / flavone)  :0 (u_147 / find)))))
influence associate level of condition	treat	1	(u_221 / level  :0 (u_8 / associate)  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence use in region of condition	treat	1	(u_0 / use  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_250 / region  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence , pepper and condition	treat	1	(u_15 / COORD  :0 (u_261 / pepper)  :0 (u_5 / condition)  :0 (u_1 / influence))
influence f. use for treatment of condition	treat	1	(u_0 / use  :0 (u_325 / PPERIOD)  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_3 / treatment  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence of component , report ameliorate condition	treat	1	(u_1 / influence  :0 (u_5 / condition  :0 (u_302 / ameliorate  :0 (u_74 / report)))  :1-of (u_4 / of  :2 (u_127 / component)))
influence be one of condition	not	0	(u_28 / one  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence show on condition	treat	1	(u_69 / show  :0 (u_1 / influence)  :1-of (u_138 / on  :2 (u_5 / condition)))
influence in formation of condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_326 / formation  :1-of (u_4 / of  :2 (u_5 / condition))))
influence production at work individual condition	not	0	(u_327 / production  :0 (u_1 / influence)  :1-of (u_143 / at  :2 (u_5 / condition  :0 (u_109 / individual)  :0 (u_328 / work))))
influence induce condition	not	0	(u_1 / influence  :0 (u_5 / condition  :0 (u_21 / induce)))
influence , associate condition	not	0	(u_1 / influence  :0 (u_5 / condition  :0 (u_8 / associate)))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence associate with mortality and condition	treat	1	(u_1 / influence)
influence extract exhibit mediate activity condition	treat	1	(u_329 / mediate  :2 (u_5 / condition  :0 (u_265 / activity))  :1 (u_98 / exhibit  :0 (u_26 / extract  :0 (u_1 / influence))))
influence use for condition	not	0	(u_0 / use  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_5 / condition)))
influence use derive from condition	not	0	(u_252 / derive  :1 (u_0 / use  :0 (u_1 / influence))  :1-of (u_151 / from  :2 (u_5 / condition)))
influence and condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence origin of acid laud for condition	treat	1	(u_240 / origin  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_330 / laud  :0 (u_134 / acid)  :1-of (u_2 / for  :2 (u_5 / condition)))))
influence seafood in cause part of condition	not	0	(u_331 / seafood  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_332 / part  :0 (u_85 / cause)  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence allergy affect % of condition	not	0	(u_34 / affect  :1 (u_239 / allergy  :0 (u_1 / influence)))
influence , event include condition	treat	1	(u_39 / include  :2 (u_5 / condition)  :1 (u_333 / event))
influence in pathology condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_334 / pathology)))
influence food garlic of condition	treat	1	(u_335 / garlic  :0 (u_20 / food)  :0 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence use for management of condition	treat	1	(u_0 / use  :0 (u_1 / influence)  :1-of (u_2 / for  :2 (u_185 / management  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence of role in condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_233 / role  :1-of (u_14 / in  :2 (u_5 / condition))))
influence in compound of condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_137 / compound  :1-of (u_4 / of  :2 (u_5 / condition))))
influence milk by produce condition	not	0	(u_336 / milk  :0 (u_254 / produce  :2 (u_5 / condition))  :0 (u_1 / influence))
influence inactivity association of condition	not	0	(u_67 / association  :0 (u_337 / inactivity  :0 (u_1 / influence))  :1-of (u_4 / of  :2 (u_5 / condition)))
influence cashew contain protein cause remove from diet of people condition	not	0	(u_176 / contain  :2 (u_230 / remove  :1-of (u_151 / from  :2 (u_83 / diet  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_338 / people))))))  :2 (u_85 / cause  :0 (u_209 / protein))  :1 (u_339 / cashew  :0 (u_1 / influence)))
influence index and complication condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_340 / complication))  :0 (u_341 / index)  :0 (u_1 / influence))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence of effect the condition	treat	1	(u_1 / influence  :0 (u_5 / condition)  :1-of (u_4 / of  :2 (u_68 / effect)))
influence cheese and quality of condition	treat	1	(u_15 / COORD  :0 (u_117 / quality  :1-of (u_4 / of  :2 (u_5 / condition)))  :0 (u_342 / cheese)  :0 (u_1 / influence))
influence produce define condition	not	0	(u_254 / produce  :2 (u_5 / condition)  :2 (u_343 / define)  :1 (u_1 / influence))
influence use in product biltong condition	not	0	(u_0 / use  :0 (u_1 / influence)  :1-of (u_14 / in  :2 (u_5 / condition  :0 (u_344 / biltong)  :0 (u_217 / product))))
influence in agent as condition	treat	1	(u_6 / as  :1 (u_1 / influence  :1-of (u_14 / in  :2 (u_283 / agent)))  :2 (u_5 / condition))
influence , food of introduction delay condition	not	0	(u_1 / influence  :0 (u_20 / food  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_345 / delay)  :0 (u_346 / introduction)))))
influence of disease bronchitis cause condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_85 / cause)  :0 (u_347 / bronchitis)  :0 (u_43 / disease)))
influence cassia , condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_348 / cassia)  :0 (u_1 / influence))
influence onion from thiosulfate identify as agent of condition	not	0	(u_17 / identify  :1 (u_349 / onion  :0 (u_1 / influence)  :1-of (u_151 / from  :2 (u_350 / thiosulfate)))  :1-of (u_6 / as  :2 (u_283 / agent  :1-of (u_4 / of  :2 (u_5 / condition)))))
influence in rate condition	not	0	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_92 / rate)))
influence in reduce condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_23 / reduce)))
influence crystal lead to condition	not	0	(u_116 / lead  :0 (u_351 / crystal)  :0 (u_1 / influence)  :1-of (u_53 / to  :2 (u_5 / condition)))
influence chewing condition	not	0	(u_5 / condition  :0 (u_352 / chewing)  :0 (u_1 / influence))
influence have history of condition	treat	1	(u_33 / have  :2 (u_304 / history  :1-of (u_4 / of  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence be driver of condition	not	0	(u_202 / driver  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence know be attribute prevention of diabete type condition	treat	1	(u_36 / know  :2 (u_19 / prevention  :0 (u_353 / attribute)  :1-of (u_4 / of  :2 (u_5 / condition  :0 (u_354 / type  :0 (u_355 / diabete)))))  :1 (u_1 / influence))
influence be food against condition	treat	1	(u_20 / food  :1 (u_1 / influence)  :1-of (u_27 / against  :2 (u_5 / condition)))
influence and condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence in prevent condition	treat	1	(u_14 / in  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_40 / prevent)))
influence neoplasms , associate condition	not	0	(u_15 / COORD  :0 (u_5 / condition  :0 (u_8 / associate))  :0 (u_356 / neoplasm)  :0 (u_1 / influence))
influence and condition	not	0	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_1 / influence))
influence of use with condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_0 / use  :1-of (u_10 / with  :2 (u_5 / condition))))
influence show reduce growth condition	treat	1	(u_23 / reduce  :2 (u_5 / condition  :0 (u_357 / growth))  :1 (u_69 / show  :0 (u_1 / influence)))
influence associate with increase in risk of condition	not	0	(u_1 / influence)
influence of influence result in condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_60 / result  :0 u_1  :1-of (u_14 / in  :2 (u_5 / condition))))
influence syrup fructose contain suggest avoid patient with condition	not	0	(u_176 / contain  :2 (u_108 / avoid  :2 (u_76 / patient  :1-of (u_10 / with  :2 (u_5 / condition))))  :1 (u_358 / fructose  :0 (u_359 / syrup)  :0 (u_1 / influence)))
influence fat have mitigate acidosis progression condition	treat	1	(u_263 / mitigate  :2 (u_5 / condition  :0 (u_360 / progression)  :0 (u_361 / acidosis))  :1 (u_101 / fat  :0 (u_1 / influence)))
influence from derive extract xuezhikang employ as medicine for treat condition	treat	1	(u_362 / employ  :1 (u_1 / influence  :0 (u_363 / xuezhikang)  :1-of (u_151 / from  :2 (u_26 / extract  :0 (u_252 / derive))))  :1-of (u_2 / for  :2 (u_5 / condition  :0 (u_37 / treat)))  :1-of (u_6 / as  :2 (u_7 / medicine)))
influence of consumption loss sex condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition  :0 (u_364 / sex)  :0 (u_365 / loss  :0 (u_9 / consumption))))
influence of condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence herbicide , condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_366 / herbicide)  :0 (u_1 / influence))
influence of effect support in condition	treat	1	(u_4 / of  :1 (u_1 / influence)  :2 (u_56 / support  :0 (u_68 / effect)  :1-of (u_14 / in  :2 (u_5 / condition))))
influence of condition	not	0	(u_4 / of  :1 (u_1 / influence)  :2 (u_5 / condition))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence be cause of condition	not	0	(u_85 / cause  :1 (u_1 / influence)  :1-of (u_4 / of  :2 (u_5 / condition)))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
influence observe maintain rate from condition	treat	1	(u_64 / observe  :2 (u_367 / maintain  :2 (u_92 / rate)  :1-of (u_151 / from  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence and chew have likelihood of condition	treat	1	(u_33 / have  :2 (u_368 / likelihood  :1-of (u_4 / of  :2 (u_5 / condition)))  :1 (u_15 / COORD  :0 (u_369 / chew)  :0 (u_1 / influence)))
influence l. turnip the classic old - detoxifying condition	treat	1	(u_370 / turnip  :0 (u_5 / condition  :0 (u_371 / detoxifying  :0 (u_372 / old))  :0 (u_373 / classic))  :0 (u_103 / lPERIOD)  :0 (u_1 / influence))
influence contribute reduce risk of condition	treat	1	(u_80 / contribute  :2 (u_23 / reduce  :2 (u_88 / risk  :1-of (u_4 / of  :2 (u_5 / condition))))  :1 (u_1 / influence))
influence tea be contribute prevent condition	treat	1	(u_80 / contribute  :2 (u_40 / prevent  :2 (u_5 / condition))  :1 (u_374 / tea  :0 (u_1 / influence)))
influence acid , condition	treat	1	(u_15 / COORD  :0 (u_5 / condition)  :0 (u_134 / acid)  :0 (u_1 / influence))
influence exert effect on condition	treat	1	(u_132 / exert  :2 (u_68 / effect  :1-of (u_138 / on  :2 (u_5 / condition)))  :1 (u_1 / influence))
influence condition	not	0	(u_5 / condition  :0 (u_1 / influence))
