,term1,term2,sentence,is_cause,is_treat
2435,PLAQUE,FLUORIDE DENTIFRICE,"Blocks of bovine emel, covered with a steel mesh or a steel mesh plus PLAQUE or with neither, were treated in vitro with a 20% slurry of a FLUORIDE DENTIFRICE for 1 h.",1,0
2436,TUBERCULOSIS,ISONIAZID,Binding studies reveal that alpha 1 acid glycoprotein bind mainly to the TUBERCULOSIS drugs: rifampicin; ISONIAZID; pyrazimide; p aminosalicylic acid; capreomycin; ethiomide; levofloxacin and ofloxacin out with the therapeutic plasma range tested.,1,0
2437,HEPATITIS B INFECTIONS,HEPATITIS B,Among health workers susceptible to HEPATITIS B the incidence of new definite HEPATITIS B INFECTIONS was 1.0% per year in 362 health workers (804 person years of follow up observation) with frequent blood contact versus 0% per year in 258 health workers (534 person years of observation) with limited blood contact (p = 0.017.,1,0
2438,DENTAL CARIES,FLUORIDE CONCENTRATION,A recent alysis of data from earlier papers on the relationship between DENTAL CARIES and drinking water FLUORIDE CONCENTRATION suggested that the commonly accepted inverse relationship did not exist.,1,0
2439,PLASMODIUM VIVAX MALARIA,PRIMAQUINE,"The pharmacokinetics of primaquine have been studied in 13 G6PD normal and 13 G6PD deficient Thai male patients with PLASMODIUM VIVAX MALARIA who were given daily doses of 15 mg of PRIMAQUINE over 14 d, following a full course of chloroquine.",1,0
2440,DUODEL ULCER,RANITIDINE,"As current therapeutic regimens of RANITIDINE decrease 24 h intragastric acidity submaximally, higher dosages may expedite DUODEL ULCER healing.",1,0
2441,CORORY ARTERY DISEASE,ATORVASTATIN,A total of 100 patients with corory artery disease or CORORY ARTERY DISEASE equivalent were randomized to atorvastatin 40 mg/day and ezetimibe 10 mg/day or to ATORVASTATIN 40 mg/day and placebo.,1,0
2442,MYCOSES,AMPHOTERICIN B,"AMPHOTERICIN B is no longer used exclusively for classical deep seated MYCOSES; frequently, the drug is used as empiric treatment for candida and aspergillus infections.",1,0
2443,GASTRIC ULCERS,CIMETIDINE,The subjects were divided into four treatment groups: (1) subjects with duodel ulcers treated with sucralfate; (2) subjects with duodel ulcers treated with cimetidine; (3) subjects with gastric ulcers treated with sucralfate; and (4) subjects with GASTRIC ULCERS treated with CIMETIDINE,1,0
2444,MALARIA,CHLOROQUINE,When MALARIA is susceptible to CHLOROQUINE this drug (Nivaquine) has to be used.,1,0
2445,HYPOTHYROIDISM,THYROID,"Because of increasing concern over continuing medical and potential nonmedical exposure of the thyroid to radiation, risk estimates have been developed for acute THYROIDitis, HYPOTHYROIDISM and both benign and malignt thyroid nodules following exposure of the human thyroid to exterl and interl sources of ionizing radiation.",1,0
2446,ANGI,GLYCERYL TRINITRATE,"Both verapamil and propranolol caused a significant reduction in GLYCERYL TRINITRATE tablet consumption, days with angi pectoris and in severe ANGI attacks compared to placebo.",1,0
2447,ASTHMA,BECLOMETASONE DIPROPIOTE,"Since the 2  to 3 fold increase in pulmory deposition results in a 2.6  to 3 fold difference in relative efficacy for Qvar, half the dose of the reference BECLOMETASONE DIPROPIOTE formulation has been currently recommended in adult patients with ASTHMA a recommendation that is supported by a large number of clinical trials.",1,0
2448,SERUM HEPATITIS B VIRAL D,ANTI HCV AND HBSAG 1,Among 4 Asian patients with coexisting ANTI HCV AND HBSAG 1 was found to have SERUM HEPATITIS B VIRAL D and the other 3 had hepatitis C viral R.,1,0
2449,VENOUS THROMBOSIS,DICOUMAROL,"The patients in this material had had 2 20 episodes of VENOUS THROMBOSIS the most recent 5 years before the institution of treatment, in spite of DICOUMAROL treatment.",1,0
2450,ASTHMA,NEDOCROMIL,"Of non steroidal agents that have well established positions in asthma treatment, NEDOCROMIL and cromolyn possess significant anti inflammatory effects, and theophylline and beta agonists possess some anti inflammatory effects of potential relevance to ASTHMA.",1,0
2451,PAIN,PROXEN,The effect of proxen (prosyn) on PAIN alleviation was studied in a double blind cross over trial using PROXEN and placebo.,1,0
2452,OROFACIAL HERPES SIMPLEX,ACYCLOVIR,"As an established treatment of herpes simplex infection, intravenous, oral and to a lesser extent topical formulations of ACYCLOVIR provide significant therapeutic benefit in genital herpes simplex and recurrent OROFACIAL HERPES SIMPLEX",1,0
2453,MALARIA,CHLOROQUINE,"There was no interference from drugs commonly administered to children with severe MALARIA (phenobarbitone, phenytoin, CHLOROQUINE quinine, sulfadoxine, pyrimethamine, halofantrine, cycloguanil, chlorcycloguanil, acetaminophen and salicylate.",1,0
2454,HEPATITIS B SEROLOGY IN SERUM,HBSAG,Forty five blood recipients were considered susceptible to hepatitis B virus infection because testing for HEPATITIS B SEROLOGY IN SERUM (HBSAG antibody to HBsAg and antibody to HBcAg) was negative before being transfused.,1,0
2455,PAIN,CAPSAICIN,The contribution of activity in spinothalamic tract (STT) neurons to the PAIN and neurogenic hyperalgesia produced by an intradermal injection of 100 micrograms of CAPSAICIN was investigated.,1,0
2456,OPIOID INDUCED USEA AND EMESIS,ONDANSETRON,The aim of this study was to compare the anti emetic efficacy and safety of ONDANSETRON placebo and metoclopramide in the treatment of OPIOID INDUCED USEA AND EMESIS (OIE) in cancer patients.,1,0
2457,MORPHINE RESISTANT PAIN,INTRATHECAL BUPIVACAINE,All patients appeared to have MORPHINE RESISTANT PAIN and had elected to proceed to INTRATHECAL BUPIVACAINE or percutaneous cordotomy.,1,0
2458,GENITAL HERPES,FAMCICLOVIR,"FAMCICLOVIR also has efficacy in the suppression of recurrent episodes of GENITAL HERPES and in the treatment of orolabial herpes, in immunocompetent patients.",1,0
2459,CONGESTIVE HEART FAILURE,DIGOXIN,"Cleland JGF, Dargie HJ, Pettigrew A et al. The effects of captopril on serum digoxin and uriry urea and DIGOXIN clearances in patients with CONGESTIVE HEART FAILURE",1,0
2460,DEHYDRATION,SALT STRESS,DEHYDRATION and SALT STRESS also induce its transcription and enzymatic activity in seedlings.,1,0
2461,GASTRIC ULCERS,RANITIDINE,"The results of this trial suggest that, in the treatment of GASTRIC ULCERS the early evening administration of RANITIDINE 300 mg is more effective than other modes of ingestion.",1,0
2462,"ADENOVIRUS (AD), HEPATITIS B RECOMBINT (AD HEP B)",HEPATITIS B SURFACE ANTIGEN (HBSAG) GENE,"High yielding ADENOVIRUS (AD), HEPATITIS B RECOMBINT (AD HEP B) viruses were prepared by insertion of the HEPATITIS B SURFACE ANTIGEN (HBSAG) GENE into the early region 3 (E3 region) of Ad4 or Ad7 vectors containing intact or largely deleted E3 regions.",1,0
2463,PAIN,ASPIRIN,43 (63%) on iloprost treatment had complete relief of PAIN compared with 18 (28%) on ASPIRIN,1,0
2464,SYMPTOMATIC VENOUS THROMBOEMBOLISM,LOW MOLECULAR WEIGHT HEPARIN,CONCLUSION  In patients with SYMPTOMATIC VENOUS THROMBOEMBOLISM long term treatment with LOW MOLECULAR WEIGHT HEPARIN is possibly as effective and safe as long term treatment with vitamin K antagonists.,1,0
2465,LEVELS IN THE PLAQUE RESERVOIR IS,FLUORIDE,"It is postulated that the high fluoride LEVELS IN THE PLAQUE RESERVOIR IS responsible for the relatively low caries experience, the significant differences in caries experience between the groups and the poor correlation between dental caries experience and FLUORIDE concentration in drinking water.",1,0
2466,CARIES,FLUORIDE CONCENTRATION IN EMEL,"The object of the present study was an attempt to relate FLUORIDE CONCENTRATION IN EMEL CARIES experience, and the degree of fluorosis in a community residing in an area with a high level of fluoride.",1,0
2467,TUBERCULOSIS,RIFAMPICIN,In patients with new detected TUBERCULOSIS 23.5% MBT resistant to isoniazid and RIFAMPICIN (MDR) and sensitive to fluoroquinolones were revealed.,1,0
2468,PLAQUE ACID METABOLISM,FLUORIDE,The lack of an effect of FLUORIDE and xylitol on PLAQUE ACID METABOLISM is attributed to the variability of dental plaque and the low concentrations of active ingredients reaching the plaque.,1,0
2469,DUODEL ULCER,RANITIDINE,Treatment with RANITIDINE for a maximum of six weeks healed 97.1% of DUODEL ULCER patients (172 out of 177) and 96.5% of gastric ulcer patients (77 out of 81.,1,0
2470,HEPATITIS B,HBSAG,The immune response against HBSAG is helper T cell dependent and vaccition against HEPATITIS B is of low effectiveness.,1,0
2471,DUODEL ULCER,RANITIDINE,Fifty four patients with prepyloric (26 receiving ranitidine) and 53 patients with DUODEL ULCER (28 receiving RANITIDINE completed the trial in accordance with the protocol.,1,0
2472,PAIN,BUPIVACAINE,instillation of therapeutically safe doses of BUPIVACAINE was without effect in the magement of PAIN postoperative pulmory dysfunction and the stress response in this group of patients.,1,0
2473,HYPOTHYROIDISM + THYROXINE ADMINISTRATION,THYROXINE,Both malondialdehyde (MDA) and glutathione (GSH) levels were lower in rel and testicular tissues of the hypothyroidism group than the control and HYPOTHYROIDISM + THYROXINE ADMINISTRATION groups and the levels in hypothyroidism + THYROXINE administration group were higher than those in the control and hypothyroidism groups (p.,1,0
2474,TUBERCULOSIS,ISONIAZID,ISONIAZID (INH) is an essential drug used to treat TUBERCULOSIS,1,0
2475,CHRONIC ASTHMA,NEDOCROMIL SODIUM,Asthma genetics  Rapid effects of inhaled corticosteroids in acute asthma: an evidence based evaluation  Clinical Evidence  Asthma  Cochrane Database of Systematic Reviews  Written action plans for asthma in children  NEDOCROMIL SODIUM for chronic asthma in children  Inhaled corticosteroids versus sodium cromoglycate in children and adults with asthma  Ketotifen alone or as additiol medication for long term control of asthma and wheeze in children  Oral xanthines as maintence treatment for asthma in children  Addition of long acting beta2 agonists to inhaled corticosteroids versus same dose inhaled corticosteroids for CHRONIC ASTHMA in adults and children  Addition of inhaled long.,1,0
2476,MYOCARDIAL INFARCTION (MI,(ACETYLSALICYLIC ACID ASA,This article reviews the relevant published literature in order to assess whether aspirin (ACETYLSALICYLIC ACID ASA is underused in MYOCARDIAL INFARCTION (MI taking into account: (i) the evidence of efficacy and safety from clinical trials; (ii) authoritative recommendations about its use; and (iii) published drug utilisation studies.,1,0
2477,PULMORY EDEMA,O2,"57) Air contamints that form atmospheric oxidants and that were liberated from missile fuels, explosives, or agricultural wastes Cobaltous chloride Hydrogen chloride Hydrogen fluoride Delayed onset of symptoms with nitrogen oxides unless heavy concentration; fatigue, cough, dyspnea, PULMORY EDEMA; later, bronchitis, pneumonia Bed rest; O2 as soon as symptoms develop; for excessive pulmory foam: suction, postural draige, tracheotomy; prednisone 30 80 mg/day in adults and dexamethasone 1 mg/m2 BSA in children to possibly prevent pulmory fibrosis Nitroglycerin See Nitrites       Nitroprusside See.",1,0
2478,VIRAL HEPATITIS B INFECTION,HEPATITIS B,Changes in the pattern of transmission of new cases of HEPATITIS B inform us of changes in the epidemiology of VIRAL HEPATITIS B INFECTION.,1,0
2479,DUODEL ULCER,SUCRALFATE,"SUCRALFATE and ranitidine were compared in the treatment of DUODEL ULCER in this multicenter, randomized, double blind study.",1,0
2480,NONSMOKING ASTHMATIC PATIENTS,BECLOMETHASONE,"We found no significant difference between the LC 1 concentration in BALF FROM NONSMOKING ASTHMATIC PATIENTS WHO WERE receiving inhaled glucocorticoid therapy (2 x 100 micrograms BECLOMETHASONE 4 times/day for 2.5 yr; median 186 ng LC 1/mg albumin; n = 6) and those who were not (median 126 ng LC 1/mg albumin; n = 12), perhaps because inhaled drugs deposit predomintly in central airways, which are poorly represented in bronchoalveolar lavage.",1,0
2481,CYTOMEGALOVIRUS INFECTION,GANCICLOVIR,"In clinical trials, valganciclovir, the valyl ester of ganciclovir, has been shown to enhance the bioavailability of GANCICLOVIR when taken orally by patients with CYTOMEGALOVIRUS INFECTION",1,0
2482,MALARIA CONTROL PROGRAMME,CHLOROQUINE TREATMENT FOR MALARIA,"A community based MALARIA CONTROL PROGRAMME in Saradidi, Kenya provided CHLOROQUINE TREATMENT FOR MALARIA in each village beginning in May 1982.",1,0
2483,OSTEOPOROSIS,VITAMIN D,"The government produced frameworks mirror guidelines produced by the profession and include a number of prescribing recommendations, e.g. the use of antihypertensives and aspirin (acetylsalicylic acid) in the prevention of stroke, and the use of calcium, VITAMIN D and bisphosphotes in the treatment of OSTEOPOROSIS",1,0
2484,HERPES ZOSTER,ACYCLOVIR,"Meta alysis of four double blind, randomized, placebo controlled trials of oral acyclovir (800 mg five times daily) for the treatment of HERPES ZOSTER was conducted to provide definitive assessments of the effect of ACYCLOVIR on the resolution of zoster associated pain.",1,0
2485,PULMORY EMBOLISM,HEPARIN,"211 ,   226 ,   242 ,   243 ,   244 ,   245 ,   246 ,   247 ,   248 ,   249 ,   250 ,   251 ,   252 ,   348 ,   350 ,   372 ,   432 ,   440  Used short term with an LMW HEPARIN in the treatment of DVT or PULMORY EMBOLISM following MI in hospitalized patients.",1,0
2486,ASTHMA,ZAFIRLUKAST,"Wechsler ME, Garpestad E, Flier SR et al. Pulmory infiltrates, eosinophilia, and cardiomyopathy following corticosteroid withdrawal in patients with ASTHMA receiving ZAFIRLUKAST",1,0
2487,PAIN,ASPIRIN,The PAIN was relieved by ASPIRIN in six cases only.,1,0
2488,MALARIA,CHLOROQUINE,Among 56 subjects reporting to a clinic with symptoms of MALARIA 53 (95%) had ordirily effective levels of CHLOROQUINE in blood.,1,0
2489,CARIES,FLUORIDE,"Among 3618 children of similar age groups, living in high FLUORIDE areas (Gadag), 84% were CARIES free and the mean DMFT value was 0.39.",1,0
2490,GOUT,COLCHICINE,For control of acute episodes of GOUT administration of a full course of COLCHICINE is the preferred method of therapy.,1,0
2491,NSAID INDUCED GASTRIC ULCERS,MISOPROSTOL,The absence of firm data on the rate of NSAID INDUCED GASTRIC ULCERS reduced by MISOPROSTOL makes it impossible to conclude whether it is cost effective in patients with chronic arthritis who use NSAIDS.,1,0
2492,VENOUS THROMBOEMBOLISM,HEPARIN,"2  Brill Edwards P, Ginsberg JS, Gent M, Hirsh J, Burrows R, Kearon C, et al. Safety of withholding HEPARIN in pregnt women with a history of VENOUS THROMBOEMBOLISM",1,0
2493,CHF,DIGOXIN,"101 ,   102 ,   104 ,   107 ,   b  CHF  May improve cardiac output and stroke volume and is considered useful in the short term magement of severe CHF that is refractory to cardiac glycosides (DIGOXIN and diuretics.",1,0
2494,SINGLE DRUG RESISTANT TUBERCULOSIS,ISONIAZID,"The prevalence of SINGLE DRUG RESISTANT TUBERCULOSIS ranged from 3.4% to 41% for ISONIAZID 0% to 23.4% for rifampicin, 0.7% to 22.7% for streptomycin and 0% to 6.9% for ethambutol.",1,0
2495,HYPOTHYROIDISM,THYROXINE,A 10 year old girl with hypertrichosis associated with primary HYPOTHYROIDISM that resolved after 6 months' replacement treatment with THYROXINE is reported.,1,0
2496,HERPES ZOSTER,FAMCICLOVIR,Herpes  Maging herpes zoster in immunocompromised patients  Jourl of the American Medical Association  Risk of herpes zoster in patients with rheumatoid arthritis treated with anti TNF alpha agents  Jourl of Dermatology  The effects of FAMCICLOVIR and epidural block in the treatment of HERPES ZOSTER  Jourl of Pain.,1,0
2497,ATOPIC BRONCHIAL ASTHMA,(SODIUM NEDOCROMIL,"As shown by clinical, allergological and immunological findings, tailed (SODIUM NEDOCROMIL compared to intal is more active against ATOPIC BRONCHIAL ASTHMA complicated by obstructive bronchitis.",1,0
2498,DUODEL ULCER,H2 RECEPTOR ANTAGONISTS FAMOTIDINE AND RANITIDINE,"A multicenter, double blind, randomized, controlled study was conducted in 234 duodel ulcer patients to compare the efficacy and safety of the H2 RECEPTOR ANTAGONISTS FAMOTIDINE AND RANITIDINE in the treatment of DUODEL ULCER",1,0
2499,CONGESTIVE HEART FAILURE,DIGITALIS COMPOUNDS,"DIGITALIS COMPOUNDS are used in the treatment of CONGESTIVE HEART FAILURE as positive inotropic agents; their action is mainly due to the inhibition of (+),K(+) ATPase.",1,0
2500,DRUG RESISTANT MALARIA,CHLOROQUINE,"We show that, even for DRUG RESISTANT MALARIA if 2 doses of chloroquine are given to a patient with an interval of some 10 days between them, parasites can be elimited from the body without toxic levels of CHLOROQUINE being reached.",1,0
2501,MYCOBACTERIUM TUBERCULOSIS INFECTED MICE,(RIFAMPICIN,To investigate the antagonism between isoniazid (INH) and rifampin (RIFAMPICIN (RIF) pyrazimide (PZA) combition observed in MYCOBACTERIUM TUBERCULOSIS INFECTED MICE extensive pharmacokinetic studies of INH were performed and followed by experiments to assess the impact of increasing doses of INH on the antimicrobial activity of RIF PZA combition.,1,0
2502,CONGESTIVE HEART FAILURE,DIGOXIN,It is concluded that if improvement of hemodymics is needed in CONGESTIVE HEART FAILURE this knowledge should be taken into account and in many cases DIGOXIN should be added to standard therapy.,1,0
2503,PAIN,LIDOCAINE,"In patients premedicated with 5  10 mg Valium intravenously, the addition of LIDOCAINE to the contrast medium resulted in increased PAIN in half the patients and no difference in the others.",1,0
2504,ASTHMA,NEDOCROMIL SODIUM,Regular treatment with NEDOCROMIL SODIUM therefore led to greater ASTHMA symptom control and reduced bronchial responsiveness compared with regular treatment with albuterol.,1,0
2505,ANGI PECTORIS,NITROGLYCERIN,Pindolol reduced in both groups significantly the number and intensity of ANGI PECTORIS attacks and the consumption of NITROGLYCERIN capsules.,1,0
2506,MYCOBACTERIAL TUBERCULOSIS PATHOGEN,ISONIAZID,The identification of the target of ISONIAZID in the MYCOBACTERIAL TUBERCULOSIS PATHOGEN opens the way for the developoment of new drugs and diagnostic tests to combat drug resistant pathogen strains.,1,0
2507,ANGI,NITROGLYCERIN,"This approach also avoids the development of a clinical rebound phenomenon, as measured by increased episodes of ANGI and NITROGLYCERIN consumption, compared with the pretreatment period, during the nitrate free interval at night and the early hours of the morning.",1,0
2508,SYMPTOMATIC MALARIA INFECTION,CHLOROQUINE TREATMENT,"Group I received placebo and CHLOROQUINE TREATMENT for SYMPTOMATIC MALARIA INFECTION (i.e., no presumptive anti malarial treatment given.",1,0
2509,DENTAL CARIES,FLUORIDE,"To date, no systematic reviews have found FLUORIDE to be effective in preventing DENTAL CARIES in adults.",1,0
2510,GASTRIC ULCER,CIMETIDINE,This underlines its therapeutic value in the treatment of GASTRIC ULCER in comparison with CIMETIDINE or carbenoxolone.,1,0
2511,SERUM HEPATITIS B ANTIBODY,SURFACE ANTIGEN (HBSAG,The serological results of 82 Whites showed that 1.2% were positive for serum hepatitis B SURFACE ANTIGEN (HBSAG and 21% were positive for SERUM HEPATITIS B ANTIBODY (HBAb.,1,0
2512,PAIN,CAPSAICIN INDUCED PAIN INTENSITY,"The CAPSAICIN INDUCED PAIN INTENSITY pain area, the area of secondary hyperalgesia, the area of visible flare and vasomotor reactions were recorded together with cutaneous heat, electrical and pressure PAIN thresholds.",1,0
2513,ARRHYTHMIAS,ANTIARRHYTHMIC AGENTS,These ARRHYTHMIAS were thought to be caused by varicella myocarditis and were resistant to most common ANTIARRHYTHMIC AGENTS,1,0
2514,POSTMENOPAUSAL OSTEOPOROSIS,RISEDROTE,"Alendrote and risedrote are approved by the FDA for prevention of bone loss in recently menopausal women, for treatment of POSTMENOPAUSAL OSTEOPOROSIS and for prevention (risedrote) and treatment (alendrote and RISEDROTE of glucocorticoid induced osteoporosis.",1,0
2515,MALARIA,CHLOROQUINE,Nearly two thirds of the interviewees believed that pregnt and lactating women with MALARIA should avoid the use of CHLOROQUINE because it may cause a spontaneous abortion or dry up breast milk.,1,0
2516,PAIN,CAPSAICIN,CAPSAICIN and the lidocaine 5% patch relieve PAIN and decrease allodynia.,1,0
2517,HEPATITIS B,ANTIGEN (HBSAG),"HEPATITIS B markers studied were HBs ANTIGEN (HBSAG) and if positive, HBe antigen/anti HBe antibodies and HBV D.",1,0
2518,MALARIA,CHLOROQUINE,Cochrane Database of Systematic Reviews  WITHDRAWN: Vaccines for preventing malaria  WITHDRAWN: Mefloquine for preventing malaria in non immune adult travellers  Drugs for preventing malaria related illness in pregnt women  Artemisinin derivatives for treating uncomplicated malaria  Insecticide treated bednets and curtains for preventing malaria  CHLOROQUINE or amodiaquine combined with sulfadoxine pyrimethamine for treating uncomplicated MALARIA  Steroids for treating cerebral malaria  Antipyretic measures for treating fever in malaria  Routine anticonvulsants for treating cerebral malaria  High first dose quinine regimen for treating severe malaria  Blood transfusion for treating malarial aemia  Amodiaquine for treating malaria  Iron chelating agents for treating malaria  WITHDRAWN.,1,0
2519,HYPOTHYROIDISM,THYROID,A woman in her 24th week of gestation was referred FOR TREATMENT OF HYPOTHYROIDISM AFTER SHE UNDERWENT RADIOABLATION OF THE THYROID DURING THE 13th week of gestation.,1,0
2520,DUODEL ULCER,CIMETIDINE,"In a double blind study, 35 patients with DUODEL ULCER diagnosed by endoscopy were randomly assigned to receive cimetidine 800 mg daily and 38 patients to receive CIMETIDINE 800 mg plus sulpiride 200 mg daily.",1,0
2521,ASTHMA,ZAFIRLUKAST,In clinical models of ASTHMA ZAFIRLUKAST inhibited bronchospasm after allergen or exercise challenge in patients with asthma.,1,0
2522,PAIN,LIDOCAINE OINTMENT,The PAIN was treated with LIDOCAINE OINTMENT and sitz baths with partial success.,1,0
2523,PAIN,AMETHOCAINE,In the neotal population AMETHOCAINE was found to be ineffective at reducing the PAIN of heel prick and peripherally inserted central catheters.,1,0
2524,DUODEL ULCER,CIMETIDINE,Eighty patients with DUODEL ULCER were randomly allocated to treatment with tripotassium dicitrato bismuthate (TDB) tablets or CIMETIDINE,1,0
2525,BRONCHIAL ASTHMA,ZAFIRLUKAST,"As above, ZAFIRLUKAST is effective for treatment of BRONCHIAL ASTHMA which is attributed to its peptide leukotriene antagonistic action.",1,0
2526,BACTERIAL INFECTIONS,AMINOGLYCOSIDE,A study of the susceptibility pattern of these organisms suggests that a combition of ampicillin with an AMINOGLYCOSIDE is adequate for initial treatment of these serious BACTERIAL INFECTIONS but the combition is not optimal for the treatment of Salmonella infections.,1,0
2527,ANGI,NITROGLYCERIN,Frequency of ANGI and NITROGLYCERIN consumption were assessed by weekly patient diaries.,1,0
2528,HEPATITIS B INFECTION,HBSAG,"Of the 2,585 men, 24 (0.93%) were positive for HBSAG indicating that HEPATITIS B INFECTION in the target group was below the intermediate endemicity.",1,0
2529,VARICELLA ZOSTER,HIGH DOSE ACYCLOVIR THERAPY,Findings of a biopsy specimen and viral culture of these papules subsequently revealed VARICELLA ZOSTER that eventually responded to prolonged HIGH DOSE ACYCLOVIR THERAPY AND DEBRIDEMENT.,1,0
2530,CONGESTIVE HEART FAILURE,DIGITALIS AND DIURETICS,"Initially, vasodilators were USED ONLY WHEN DIGITALIS AND DIURETICS COULD not adequately treat CONGESTIVE HEART FAILURE",1,0
2531,HBV,HBSAG,HBV    hepatitis B virus  HBSAG    hepatitis B surface antigen  HCV    hepatitis C virus  HSV    herpes simplex virus  im    intramuscular  IU    intertiol units  IgG    immunoglobulin G  IgM    immunoglobulin M  LFTs    liver function tests  LMWH    low molecular weight heparin  NBUVB    rrowband ultraviolet B  NSAID    nonsteroidal anti inflammatory drug  OR    odds ratio  po    orally  prn    as needed  PUVA    psoralen and ultraviolet A  R    ribonucleic acid  sc    subcutaneous.,1,0
2532,STROKING PAIN SCORES,KETAMINE INFUSIONS,"Dose dependent increases in cold and cold pain thresholds, and reductions in STROKING PAIN SCORES were noted in both the alfentanil and the KETAMINE INFUSIONS.",1,0
2533,TUBERCULOSIS,ISONIAZID,The use of multiple drug regimes for the treatment of TUBERCULOSIS is restricted because of the degradation of Rifampicin in the presence of ISONIAZID,1,0
2534,HEPATITIS B,SURFACE ANTIGEN (HBSAG),"The serum hepatitis B SURFACE ANTIGEN (HBSAG) was positive, but reactivation of hepatitis B was unlikely in view of the absence of a serum HEPATITIS B e antigen (HBeAg) and hepatitis B virus deoxyribonucleic acid (HBV D) and negative stain for HBsAg and hepatitis B core antigen (HBcAg) in the liver tissue.",1,0
2535,PAIN,PROXEN,PROXEN appears to be effective in reducing pain and swelling in acute gout and is an effective algesic in patients with PAIN following surgery or trauma and in pain of dysmenorrhoea.,1,0
2536,PULMORY EMBOLISM,HEPARIN,Intravenous use of HEPARIN and oral anticoagulation are the mainstays of the therapy of deep venous thrombosis and PULMORY EMBOLISM,1,0
2537,TUBERCULOSIS,CHEMOTHERAPY PYRAZIMIDE,"Two drug regimen of chemotherapy with isoniazid and rifampicin for pulmory tuberculosis is the one of the standard methods of treatment for active pulmory tuberculosis in Japan since 1996, while ATS/CDC and WHO/IUATLD recommended the three drug or four drug regimen containing CHEMOTHERAPY PYRAZIMIDE unless the prevalence of drug resistance, among new TUBERCULOSIS cases is low.",1,0
2538,EMESIS,ONDANSETRON,"Ruff P, Paska W, Goedhals L et al for the ONDANSETRON and Granisetron EMESIS Study Group.",1,0
2539,CHRONIC CONGESTIVE CARDIAC FAILURE IN MYOCARDIAL INFARCTION,DIGITALIS GLYCOSIDES,Atrial was undertaken of assessment of the usefulness and the place of DIGITALIS GLYCOSIDES in the treatment of CHRONIC CONGESTIVE CARDIAC FAILURE IN MYOCARDIAL INFARCTION and in mitral stenosis.,1,0
2540,ARRHYTHMIA,ANTIARRHYTHMIC DRUGS,"In over 1,287 noninvasive drug studies involving 11 ANTIARRHYTHMIC DRUGS ARRHYTHMIA aggravation occurred in 117 tests (9%.",1,0
2541,OSTEOPOROSIS,VITAMIN D,"Components of non drug therapy include improvement of muscle strength and coordition, treatment of modifiable causes of falls, a diet rich in calcium and sufficient in calories, adequate supply of VITAMIN D and an individual assessment of drugs known to increase falls or OSTEOPOROSIS",1,0
2542,CONGESTIVE HEART FAILURE,DIGITALIS,Salutary effects can be expected in patients with CONGESTIVE HEART FAILURE who are treated with DIGITALIS and diuretic agents.,1,0
2543,MEAN PAIN SCORES,LIDOCAINE,"The MEAN PAIN SCORES for the four solutions were: 44.2 for plain lidocaine, 42.2 for warmed LIDOCAINE 36.7 for buffered lidocaine, and 29.2 for warmed, buffered lidocaine.",1,0
2544,SERUM HEPATITIS,HBSAG,"In SERUM HEPATITIS the high levels of HBSAG and HBcAb were observed during the acute period of the disease, while the content of HBsAb did not exceed the normal level.",1,0
2545,HEPATITIS B VIRUS-ASSOCIATED D,ANTIGEN (HBSAG) HEPATITIS B E,"All were positive for hepatitis B surface ANTIGEN (HBSAG) HEPATITIS B E antigen (HBeAg), and HEPATITIS B VIRUS-ASSOCIATED D polymerase (D p) for at least 6 months before entry.",1,0
2546,DUODEL ULCER,RANITIDINE 150 MG,"The author compares the efficacy of ranitidine 300 mg in a single bedtime dose, and RANITIDINE 150 MG twice daily, in 509 DUODEL ULCER patients treated in two Italian multicentre trials.",1,0
2547,GASTRIC ULCERS,RANITIDINE,RANITIDINE and cimetidine have been shown to be safe and effective in healing duodel and GASTRIC ULCERS and in prevention of duodel ulcer relapse.,1,0
2548,PAIN AND NEUROGENIC INFLAMMATION,INTRADERMAL INJECTION OF CAPSAICIN INTO,"Screening of a library of trimers of N alkylglycines resulted in the identification of two molecules referred to as DD161515 N 2 (2 (N methylpyrrolidinyl)ethylglycyl N 2,4 dichlorophenethylglycyl N (2,4 dichlorophenethyl)glycimide and DD191515 N 3 (N,N diethylamino)propylglycyl N 2,4 dichlorophenethylglycyl N (2,4 dichlorophenethyl)glycimide that selectively block VR1 channel activity with micromolar efficacy, rivaling that characteristic of vanilloid related inhibitors. These compounds appear to be noncompetitive VR1 antagonists that recognize a receptor site distinct from that of capsaicin. Intraperitoneal administration of both trialkylglycines into mice significantly attenuated thermal nociception as measured in the hot plate test. It is noteworthy that these compounds elimited PAIN AND NEUROGENIC INFLAMMATION evoked by INTRADERMAL INJECTION OF CAPSAICIN INTO the animal hindpaw, as well as the thermal hyperalgesia induced by tissue irritation with nitrogen mustard. In contrast, responses to mechanical stimuli were not modified by either compound. Modulation of sensory nerve fibers excitability appears to underlie the peptoid algesic activity. Collectively, these results indicate that blockade of VR1 activity attenuates chemical and thermal nociception and hyperalgesia, supporting the tenet that this ionotropic receptor contributes to chemical and thermal sensitivity and pain perception in vivo.",1,0
2549,HYPOTHYROIDISM,LEVOTHYROXINE,Bioequivalence of LEVOTHYROXINE preparations for treatment of HYPOTHYROIDISM,1,0
